,Country,EdLevel,YearsCodePro,Salary
19922,Poland,Bachelor’s degree,11.0,22969.0
19930,Germany,Bachelor’s degree,1.0,58899.0
19931,Austria,Master’s degree,21.0,85672.0
19932,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,12.0,93104.0
19933,United Kingdom of Great Britain and Northern Ireland,Master’s degree,11.0,86897.0
19936,United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors,10.0,27310.0
19937,Denmark,Bachelor’s degree,15.0,115028.0
19938,Sweden,Less than a Bachelors,24.0,82927.0
19942,United States of America,Less than a Bachelors,11.0,205000.0
19944,United Kingdom of Great Britain and Northern Ireland,Master’s degree,9.0,111724.0
19945,France,Master’s degree,1.0,48190.0
19946,United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors,25.0,148966.0
19948,Sweden,Less than a Bachelors,11.0,41264.0
19949,Netherlands,Master’s degree,1.0,58899.0
19955,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,5.0,37241.0
19959,Germany,Less than a Bachelors,13.0,80317.0
19960,Denmark,Master’s degree,2.0,91516.0
19962,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,30.0,248276.0
19966,India,Bachelor’s degree,12.0,96935.0
19967,Brazil,Bachelor’s degree,4.0,30431.0
19968,Germany,Less than a Bachelors,5.0,107090.0
19969,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,10.0,173793.0
19970,Brazil,Master’s degree,5.0,39764.0
19971,Poland,Master’s degree,2.0,42836.0
19974,France,Post grad,5.0,53545.0
19975,United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors,20.0,248276.0
19982,United States of America,Less than a Bachelors,26.0,130000.0
19988,United States of America,Bachelor’s degree,12.0,105000.0
19996,United Kingdom of Great Britain and Northern Ireland,Master’s degree,28.0,86897.0
19998,Germany,Less than a Bachelors,3.0,51403.0
20002,Germany,Bachelor’s degree,3.0,89955.0
20008,United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors,5.0,33517.0
20011,France,Bachelor’s degree,10.0,25701.0
20012,Poland,Bachelor’s degree,7.0,114846.0
20021,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,5.0,68276.0
20022,Norway,Bachelor’s degree,8.0,99674.0
20024,France,Master’s degree,4.0,51403.0
20027,United States of America,Bachelor’s degree,17.0,230000.0
20030,United Kingdom of Great Britain and Northern Ireland,Post grad,6.0,124138.0
20033,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,10.0,74483.0
20037,Netherlands,Bachelor’s degree,10.0,117798.0
20040,United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors,1.0,34759.0
20042,Poland,Less than a Bachelors,2.0,24405.0
20044,United Kingdom of Great Britain and Northern Ireland,Master’s degree,6.0,105517.0
20045,Germany,Less than a Bachelors,17.0,69608.0
20046,Spain,Master’s degree,15.0,149925.0
20047,Germany,Less than a Bachelors,3.0,61041.0
20050,Denmark,Less than a Bachelors,23.0,92741.0
20059,France,Master’s degree,12.0,64254.0
20061,Poland,Bachelor’s degree,7.0,86134.0
20062,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,11.0,74483.0
20063,Austria,Bachelor’s degree,0.5,49261.0
20066,France,Master’s degree,6.0,77104.0
20067,United Kingdom of Great Britain and Northern Ireland,Master’s degree,9.0,59586.0
20069,Netherlands,Master’s degree,5.0,91524.0
20072,Switzerland,Master’s degree,20.0,176346.0
20075,France,Master’s degree,17.0,59970.0
20076,Germany,Bachelor’s degree,5.0,64254.0
20077,Australia,Less than a Bachelors,0.5,46273.0
20078,Germany,Post grad,4.0,71215.0
20080,France,Master’s degree,3.0,40694.0
20082,Germany,Less than a Bachelors,4.0,48190.0
20087,United Kingdom of Great Britain and Northern Ireland,Master’s degree,5.0,80690.0
20090,Switzerland,Master’s degree,5.0,93684.0
20093,Italy,Less than a Bachelors,9.0,42836.0
20094,United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors,41.0,105517.0
20096,Germany,Master’s degree,4.0,91026.0
20099,Germany,Bachelor’s degree,5.0,112444.0
20110,Sweden,Less than a Bachelors,30.0,59892.0
20111,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,2.0,55862.0
20112,Norway,Bachelor’s degree,3.0,60801.0
20114,United Kingdom of Great Britain and Northern Ireland,Master’s degree,5.0,148966.0
20118,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,12.0,46552.0
20120,Austria,Less than a Bachelors,15.0,91026.0
20123,Sweden,Less than a Bachelors,38.0,59892.0
20125,Austria,Master’s degree,15.0,95096.0
20128,Poland,Master’s degree,6.0,48331.0
20129,Portugal,Bachelor’s degree,5.0,26772.0
20131,United Kingdom of Great Britain and Northern Ireland,Post grad,34.0,124138.0
20137,Italy,Less than a Bachelors,14.0,35340.0
20139,Netherlands,Bachelor’s degree,8.0,69608.0
20141,Sweden,Bachelor’s degree,13.0,82927.0
20145,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,10.0,93104.0
20148,Sweden,Master’s degree,14.0,73713.0
20149,Denmark,Master’s degree,5.0,93173.0
20155,Spain,Bachelor’s degree,11.0,64254.0
20160,Norway,Bachelor’s degree,11.0,65241.0
20162,France,Master’s degree,8.0,64254.0
20165,France,Master’s degree,2.0,35340.0
20166,Austria,Master’s degree,7.0,53545.0
20167,Germany,Bachelor’s degree,13.0,80317.0
20175,Poland,Master’s degree,13.0,120588.0
20177,Germany,Master’s degree,3.0,85672.0
20178,United States of America,Less than a Bachelors,1.0,65000.0
20183,United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors,7.0,49655.0
20184,Netherlands,Bachelor’s degree,22.0,214179.0
20186,United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors,7.0,43448.0
20193,France,Master’s degree,11.0,71750.0
20194,Portugal,Bachelor’s degree,18.0,91026.0
20195,Netherlands,Master’s degree,18.0,91026.0
20199,Spain,Post grad,8.0,36410.0
20203,Netherlands,Master’s degree,30.0,78175.0
20206,Netherlands,Less than a Bachelors,11.0,77104.0
20207,Germany,Master’s degree,8.0,88884.0
20208,Italy,Less than a Bachelors,10.0,32127.0
20211,France,Less than a Bachelors,2.0,40159.0
20212,Austria,Bachelor’s degree,2.0,49261.0
20213,Germany,Post grad,14.0,94239.0
20218,Germany,Bachelor’s degree,5.0,64254.0
20219,Austria,Master’s degree,7.0,113087.0
20220,Netherlands,Less than a Bachelors,12.0,66181.0
20224,Germany,Less than a Bachelors,5.0,58899.0
20228,Germany,Less than a Bachelors,33.0,91026.0
20231,Poland,Bachelor’s degree,8.0,68494.0
20234,Australia,Bachelor’s degree,12.0,135133.0
20242,United States of America,Bachelor’s degree,6.0,112000.0
20244,United States of America,Bachelor’s degree,15.0,95500.0
20249,Austria,Bachelor’s degree,22.0,64254.0
20252,United Kingdom of Great Britain and Northern Ireland,Master’s degree,22.0,99311.0
20259,Israel,Less than a Bachelors,5.0,69493.0
20261,Netherlands,Bachelor’s degree,13.0,61041.0
20262,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,5.0,49655.0
20266,Germany,Post grad,5.0,74963.0
20267,France,Post grad,14.0,107090.0
20268,United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors,10.0,124138.0
20270,Germany,Master’s degree,10.0,80317.0
20271,France,Master’s degree,29.0,89955.0
20281,United States of America,Less than a Bachelors,25.0,180000.0
20284,Portugal,Master’s degree,10.0,107090.0
20285,Switzerland,Post grad,38.0,110216.0
20288,Germany,Bachelor’s degree,8.0,91026.0
20290,Italy,Less than a Bachelors,8.0,47119.0
20291,Australia,Bachelor’s degree,15.0,132208.0
20292,Brazil,Post grad,18.0,81150.0
20297,Spain,Master’s degree,12.0,36410.0
20300,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,12.0,101793.0
20301,Germany,Bachelor’s degree,11.0,57828.0
20305,Sweden,Less than a Bachelors,5.0,61919.0
20306,France,Master’s degree,8.0,62112.0
20309,Canada,Bachelor’s degree,10.0,148703.0
20315,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,10.0,62069.0
20317,France,Post grad,30.0,48190.0
20323,Netherlands,Bachelor’s degree,5.0,51403.0
20324,United States of America,Master’s degree,2.0,93600.0
20325,Germany,Less than a Bachelors,12.0,80317.0
20326,Spain,Less than a Bachelors,1.0,56757.0
20328,Canada,Bachelor’s degree,10.0,100374.0
20331,France,Master’s degree,3.0,30306.0
20333,United States of America,Master’s degree,17.0,250000.0
20336,France,Master’s degree,4.0,44335.0
20338,Spain,Post grad,12.0,53545.0
20341,Spain,Less than a Bachelors,5.0,46049.0
20342,Netherlands,Master’s degree,4.0,56912.0
20343,Austria,Master’s degree,22.0,77961.0
20347,Germany,Master’s degree,18.0,91026.0
20349,Australia,Bachelor’s degree,10.0,264416.0
20357,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,4.0,86897.0
20359,Switzerland,Bachelor’s degree,22.0,137770.0
20361,United States of America,Bachelor’s degree,15.0,115000.0
20362,Sweden,Less than a Bachelors,12.0,58602.0
20363,France,Master’s degree,19.0,71750.0
20366,Netherlands,Bachelor’s degree,10.0,95096.0
20367,Italy,Bachelor’s degree,2.0,26772.0
20369,United Kingdom of Great Britain and Northern Ireland,Post grad,20.0,60828.0
20370,Spain,Post grad,19.0,42836.0
20375,Germany,Less than a Bachelors,21.0,88884.0
20378,Israel,Bachelor’s degree,2.0,96220.0
20379,United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors,19.0,16138.0
20381,Spain,Master’s degree,20.0,267724.0
20382,United States of America,Bachelor’s degree,3.0,146000.0
20383,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,7.0,99311.0
20385,United Kingdom of Great Britain and Northern Ireland,Master’s degree,6.0,74483.0
20386,United Kingdom of Great Britain and Northern Ireland,Master’s degree,18.0,248276.0
20387,Spain,Less than a Bachelors,5.0,51403.0
20390,Spain,Post grad,3.0,34269.0
20392,Switzerland,Post grad,10.0,107090.0
20396,Netherlands,Master’s degree,4.0,63183.0
20397,Denmark,Master’s degree,7.0,86271.0
20400,Germany,Bachelor’s degree,13.0,89955.0
20405,Poland,Less than a Bachelors,17.0,39717.0
20406,Germany,Bachelor’s degree,7.0,55687.0
20407,Netherlands,Less than a Bachelors,0.5,22917.0
20408,Germany,Less than a Bachelors,20.0,128507.0
20414,Germany,Master’s degree,2.0,70679.0
20421,United Kingdom of Great Britain and Northern Ireland,Master’s degree,5.0,64552.0
20423,Germany,Bachelor’s degree,11.0,96381.0
20424,Germany,Less than a Bachelors,5.0,47548.0
20429,France,Master’s degree,5.0,49261.0
20432,India,Bachelor’s degree,10.0,41197.0
20434,Germany,Master’s degree,10.0,96381.0
20439,Germany,Bachelor’s degree,2.0,57828.0
20441,Switzerland,Bachelor’s degree,7.0,113523.0
20445,France,Master’s degree,10.0,214179.0
20449,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,3.0,78207.0
20451,Switzerland,Master’s degree,13.0,116388.0
20454,Germany,Less than a Bachelors,3.0,38552.0
20455,France,Master’s degree,11.0,91026.0
20462,Switzerland,Master’s degree,20.0,198389.0
20463,Germany,Bachelor’s degree,15.0,92097.0
20472,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,10.0,186207.0
20473,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,20.0,68276.0
20474,Spain,Master’s degree,10.0,40694.0
20478,Portugal,Post grad,30.0,96381.0
20483,Germany,Master’s degree,30.0,70679.0
20487,France,Master’s degree,11.0,80317.0
20488,United States of America,Bachelor’s degree,5.0,125000.0
20489,United Kingdom of Great Britain and Northern Ireland,Master’s degree,2.0,85655.0
20492,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,14.0,105517.0
20496,Portugal,Post grad,8.0,43371.0
20497,France,Master’s degree,19.0,101735.0
20499,France,Master’s degree,5.0,48190.0
20507,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,5.0,111724.0
20508,Germany,Less than a Bachelors,11.0,47548.0
20509,United States of America,Bachelor’s degree,2.0,95000.0
20510,Germany,Bachelor’s degree,5.0,117798.0
20513,India,Master’s degree,16.0,36351.0
20515,Sweden,Master’s degree,18.0,105041.0
20518,Germany,Bachelor’s degree,6.0,41765.0
20521,France,Master’s degree,7.0,56757.0
20522,Poland,Master’s degree,7.0,77521.0
20523,United Kingdom of Great Britain and Northern Ireland,Master’s degree,25.0,99311.0
20532,France,Less than a Bachelors,2.0,64254.0
20537,Brazil,Post grad,10.0,28403.0
20539,Poland,Bachelor’s degree,10.0,84412.0
20544,Portugal,Bachelor’s degree,1.0,28571.0
20545,United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors,24.0,81931.0
20549,Netherlands,Less than a Bachelors,9.0,85672.0
20550,France,Bachelor’s degree,6.0,64254.0
20551,United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors,34.0,85655.0
20553,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,1.0,42207.0
20557,Germany,Less than a Bachelors,8.0,71750.0
20564,Poland,Bachelor’s degree,3.0,49671.0
20565,United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors,40.0,43448.0
20567,Switzerland,Master’s degree,5.0,275541.0
20570,Portugal,Bachelor’s degree,2.0,19490.0
20575,United States of America,Less than a Bachelors,41.0,165000.0
20576,Norway,Less than a Bachelors,8.0,90613.0
20577,United Kingdom of Great Britain and Northern Ireland,Master’s degree,5.0,60828.0
20579,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,2.0,37241.0
20580,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,6.0,76966.0
20582,United Kingdom of Great Britain and Northern Ireland,Post grad,9.0,55862.0
20583,Italy,Bachelor’s degree,3.0,37481.0
20584,Germany,Less than a Bachelors,13.0,80317.0
20585,France,Master’s degree,1.0,27843.0
20586,Norway,Master’s degree,3.0,58898.0
20589,Germany,Bachelor’s degree,6.0,74963.0
20590,Poland,Master’s degree,3.0,83742.0
20595,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,20.0,86897.0
20598,United Kingdom of Great Britain and Northern Ireland,Master’s degree,2.0,74483.0
20599,Germany,Bachelor’s degree,4.0,91026.0
20602,Australia,Bachelor’s degree,15.0,165260.0
20604,Spain,Less than a Bachelors,15.0,31056.0
20609,Germany,Master’s degree,6.0,89955.0
20610,Germany,Bachelor’s degree,7.0,72821.0
20611,United States of America,Bachelor’s degree,8.0,155000.0
20614,Spain,Master’s degree,12.0,65325.0
20617,Norway,Master’s degree,10.0,117797.0
20627,France,Master’s degree,3.0,74963.0
20629,United Kingdom of Great Britain and Northern Ireland,Post grad,7.0,148966.0
20631,Germany,Master’s degree,7.0,85672.0
20632,United Kingdom of Great Britain and Northern Ireland,Post grad,4.0,142759.0
20636,France,Less than a Bachelors,11.0,38552.0
20637,United States of America,Less than a Bachelors,9.0,175000.0
20638,France,Master’s degree,10.0,71750.0
20639,Netherlands,Bachelor’s degree,25.0,58899.0
20643,Australia,Bachelor’s degree,5.0,60627.0
20646,Sweden,Less than a Bachelors,15.0,62303.0
20647,Germany,Bachelor’s degree,7.0,112444.0
20648,United States of America,Bachelor’s degree,4.0,82000.0
20651,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,12.0,100552.0
20659,Denmark,Master’s degree,12.0,186920.0
20665,Germany,Master’s degree,12.0,96381.0
20666,United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors,33.0,111724.0
20667,Spain,Less than a Bachelors,23.0,43907.0
20668,Italy,Bachelor’s degree,13.0,58899.0
20669,Spain,Bachelor’s degree,7.0,43907.0
20672,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,22.0,99311.0
20677,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,40.0,64552.0
20678,Portugal,Master’s degree,13.0,64254.0
20679,Netherlands,Bachelor’s degree,7.0,80317.0
20680,Germany,Bachelor’s degree,6.0,96381.0
20683,United States of America,Bachelor’s degree,2.0,120000.0
20690,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,8.0,86897.0
20696,United Kingdom of Great Britain and Northern Ireland,Master’s degree,13.0,94345.0
20699,Australia,Bachelor’s degree,16.0,69409.0
20702,United States of America,Bachelor’s degree,20.0,100000.0
20708,Germany,Post grad,6.0,96381.0
20714,United Kingdom of Great Britain and Northern Ireland,Master’s degree,12.0,124138.0
20716,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,8.0,161380.0
20718,Germany,Bachelor’s degree,8.0,192761.0
20721,Portugal,Less than a Bachelors,6.0,21418.0
20722,Israel,Bachelor’s degree,27.0,187095.0
20724,France,Master’s degree,5.0,48190.0
20727,France,Less than a Bachelors,6.0,43907.0
20729,Spain,Bachelor’s degree,16.0,42836.0
20730,Portugal,Less than a Bachelors,9.0,64254.0
20735,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,29.0,98069.0
20736,United Kingdom of Great Britain and Northern Ireland,Master’s degree,25.0,139035.0
20739,Germany,Bachelor’s degree,8.0,91026.0
20742,Italy,Less than a Bachelors,28.0,44978.0
20744,Germany,Master’s degree,4.0,64254.0
20748,Portugal,Bachelor’s degree,3.0,85672.0
20750,United States of America,Bachelor’s degree,17.0,180000.0
20753,Netherlands,Less than a Bachelors,4.0,58899.0
20757,Germany,Bachelor’s degree,6.0,67466.0
20758,India,Less than a Bachelors,2.0,96935.0
20760,United Kingdom of Great Britain and Northern Ireland,Master’s degree,11.0,42207.0
20761,Spain,Master’s degree,3.0,31056.0
20763,Brazil,Bachelor’s degree,13.0,48690.0
20766,Switzerland,Master’s degree,38.0,115727.0
20767,Spain,Less than a Bachelors,4.0,42836.0
20770,Germany,Less than a Bachelors,6.0,53545.0
20771,Germany,Less than a Bachelors,24.0,171343.0
20773,Netherlands,Master’s degree,7.0,64254.0
20775,Sweden,Less than a Bachelors,8.0,51415.0
20781,Sweden,Less than a Bachelors,7.0,46992.0
20783,Portugal,Bachelor’s degree,17.0,74963.0
20784,France,Bachelor’s degree,4.0,44978.0
20786,Germany,Bachelor’s degree,6.0,54616.0
20787,Austria,Bachelor’s degree,13.0,74963.0
20794,Netherlands,Less than a Bachelors,8.0,62647.0
20795,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,19.0,122897.0
20797,Switzerland,Less than a Bachelors,11.0,85969.0
20799,United States of America,Bachelor’s degree,11.0,140000.0
20801,Canada,Master’s degree,15.0,89222.0
20805,India,Bachelor’s degree,7.0,72701.0
20811,United States of America,Bachelor’s degree,14.0,140000.0
20820,Spain,Bachelor’s degree,8.0,58899.0
20821,United States of America,Bachelor’s degree,11.0,187000.0
20823,Germany,Less than a Bachelors,24.0,41122.0
20825,Israel,Bachelor’s degree,7.0,128294.0
20828,United Kingdom of Great Britain and Northern Ireland,Master’s degree,2.0,55862.0
20829,Netherlands,Bachelor’s degree,18.0,85672.0
20832,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,7.0,54621.0
20834,Israel,Bachelor’s degree,20.0,102635.0
20837,United States of America,Master’s degree,5.0,180000.0
20839,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,17.0,84414.0
20840,Germany,Less than a Bachelors,10.0,47119.0
20845,Denmark,Less than a Bachelors,9.0,109995.0
20846,Germany,Master’s degree,10.0,107090.0
20848,United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors,6.0,83749.0
20849,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,10.0,130345.0
20851,Italy,Less than a Bachelors,3.0,29985.0
20853,France,Less than a Bachelors,20.0,37481.0
20857,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,5.0,99311.0
20859,Australia,Less than a Bachelors,26.0,92545.0
20860,Sweden,Bachelor’s degree,9.0,53489.0
20861,Germany,Bachelor’s degree,13.0,66396.0
20864,United States of America,Bachelor’s degree,9.0,104000.0
20866,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,16.0,86897.0
20868,France,Master’s degree,2.0,21418.0
20869,Canada,Master’s degree,8.0,111527.0
20871,United Kingdom of Great Britain and Northern Ireland,Master’s degree,23.0,80690.0
20872,Denmark,Bachelor’s degree,7.0,98349.0
20876,Sweden,Master’s degree,9.0,165855.0
20885,Canada,Master’s degree,8.0,92939.0
20887,Netherlands,Master’s degree,6.0,83209.0
20889,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,6.0,99311.0
20892,Denmark,Master’s degree,15.0,86271.0
20893,United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors,5.0,86897.0
20898,Denmark,Bachelor’s degree,27.0,115028.0
20900,Netherlands,Bachelor’s degree,10.0,53545.0
20905,France,Post grad,8.0,42836.0
20906,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,8.0,70759.0
20910,Austria,Bachelor’s degree,6.0,74963.0
20913,Germany,Bachelor’s degree,6.0,55687.0
20914,Poland,Less than a Bachelors,10.0,83742.0
20915,Switzerland,Master’s degree,9.0,132260.0
20918,Netherlands,Bachelor’s degree,8.0,67466.0
20920,Australia,Master’s degree,10.0,105766.0
20923,Germany,Bachelor’s degree,7.0,96381.0
20924,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,17.0,134797.0
20925,France,Post grad,18.0,55687.0
20929,Spain,Bachelor’s degree,15.0,235597.0
20930,Poland,Bachelor’s degree,3.0,28711.0
20934,Switzerland,Bachelor’s degree,7.0,115727.0
20937,Germany,Master’s degree,13.0,66396.0
20940,Germany,Bachelor’s degree,4.0,53545.0
20941,United Kingdom of Great Britain and Northern Ireland,Master’s degree,7.0,74483.0
20946,Netherlands,Bachelor’s degree,17.0,91026.0
20950,Germany,Less than a Bachelors,16.0,107090.0
20951,Sweden,Master’s degree,22.0,60813.0
20952,Denmark,Bachelor’s degree,6.0,68729.0
20953,France,Master’s degree,4.0,42836.0
20955,France,Master’s degree,2.0,62112.0
20956,Poland,Bachelor’s degree,8.0,78956.0
20959,France,Bachelor’s degree,13.0,55151.0
20960,Portugal,Bachelor’s degree,8.0,125295.0
20962,France,Master’s degree,9.0,128507.0
20963,Australia,Master’s degree,25.0,196857.0
20966,Israel,Master’s degree,20.0,80184.0
20967,France,Master’s degree,3.0,47119.0
20971,Portugal,Bachelor’s degree,3.0,46049.0
20972,Poland,Less than a Bachelors,30.0,78956.0
20980,Germany,Less than a Bachelors,6.0,53545.0
20982,Norway,Master’s degree,12.0,86988.0
20983,Germany,Bachelor’s degree,20.0,107090.0
20985,Denmark,Master’s degree,8.0,81095.0
20987,Spain,Master’s degree,10.0,25701.0
20994,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,6.0,70324.0
21005,France,Master’s degree,4.0,48940.0
21013,Germany,Less than a Bachelors,7.0,115657.0
21021,Germany,Less than a Bachelors,21.0,78175.0
21024,Germany,Less than a Bachelors,11.0,139216.0
21025,Sweden,Master’s degree,29.0,60813.0
21026,Australia,Less than a Bachelors,8.0,92545.0
21028,United States of America,Bachelor’s degree,1.0,73000.0
21038,Italy,Less than a Bachelors,13.0,50332.0
21040,Israel,Less than a Bachelors,7.0,112257.0
21042,United States of America,Bachelor’s degree,5.0,140000.0
21044,Germany,Less than a Bachelors,12.0,59970.0
21050,France,Master’s degree,17.0,64254.0
21053,Germany,Bachelor’s degree,5.0,64254.0
21055,Sweden,Less than a Bachelors,3.0,39805.0
21056,France,Bachelor’s degree,1.0,58899.0
21057,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,15.0,99311.0
21059,Poland,Bachelor’s degree,7.0,47852.0
21060,Sweden,Master’s degree,7.0,66342.0
21069,Poland,Master’s degree,21.0,52638.0
21070,United States of America,Bachelor’s degree,13.0,300000.0
21073,Germany,Master’s degree,10.0,107090.0
21076,France,Bachelor’s degree,2.0,32127.0
21078,France,Master’s degree,10.0,42836.0
21080,Spain,Post grad,8.0,48190.0
21086,Portugal,Less than a Bachelors,25.0,142429.0
21090,India,Bachelor’s degree,9.0,24234.0
21092,Austria,Master’s degree,13.0,86743.0
21094,India,Bachelor’s degree,10.0,17569.0
21098,France,Master’s degree,6.0,51403.0
21100,Portugal,Bachelor’s degree,5.0,77104.0
21101,France,Master’s degree,8.0,38552.0
21102,United Kingdom of Great Britain and Northern Ireland,Master’s degree,3.0,54621.0
21103,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,4.0,161380.0
21107,United States of America,Less than a Bachelors,14.0,180000.0
21111,United Kingdom of Great Britain and Northern Ireland,Post grad,12.0,161380.0
21114,Netherlands,Less than a Bachelors,14.0,128507.0
21116,Germany,Less than a Bachelors,7.0,84782.0
21117,Netherlands,Master’s degree,4.0,89634.0
21118,United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors,12.0,106759.0
21121,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,20.0,111104.0
21125,Germany,Less than a Bachelors,2.0,16706.0
21126,Germany,Less than a Bachelors,8.0,83530.0
21129,Sweden,Less than a Bachelors,16.0,60261.0
21134,Germany,Bachelor’s degree,23.0,164918.0
21135,Germany,Bachelor’s degree,12.0,69715.0
21137,Italy,Post grad,3.0,35340.0
21138,Switzerland,Less than a Bachelors,28.0,132260.0
21143,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,9.0,33517.0
21144,France,Master’s degree,9.0,69608.0
21145,United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors,17.0,124138.0
21166,Italy,Bachelor’s degree,13.0,41765.0
21167,United Kingdom of Great Britain and Northern Ireland,Master’s degree,11.0,46862.0
21168,Norway,Less than a Bachelors,10.0,52193.0
21171,Germany,Bachelor’s degree,2.0,117798.0
21173,France,Master’s degree,2.0,48190.0
21174,India,Bachelor’s degree,18.0,58161.0
21179,France,Master’s degree,13.0,64254.0
21181,France,Master’s degree,4.0,26772.0
21182,India,Bachelor’s degree,5.0,30292.0
21186,United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors,15.0,148966.0
21188,Spain,Bachelor’s degree,5.0,43693.0
21190,Netherlands,Less than a Bachelors,8.0,64254.0
21195,Canada,Master’s degree,15.0,152420.0
21197,Germany,Bachelor’s degree,5.0,64254.0
21198,Norway,Master’s degree,12.0,80464.0
21199,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,18.0,297932.0
21200,Netherlands,Master’s degree,14.0,198116.0
21205,Germany,Master’s degree,25.0,96381.0
21211,Austria,Post grad,10.0,107090.0
21218,Poland,Less than a Bachelors,2.0,43546.0
21219,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,11.0,146247.0
21229,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,13.0,93104.0
21231,United Kingdom of Great Britain and Northern Ireland,Master’s degree,3.0,111724.0
21233,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,15.0,111724.0
21236,United States of America,Bachelor’s degree,17.0,140000.0
21237,United Kingdom of Great Britain and Northern Ireland,Master’s degree,30.0,131586.0
21239,Italy,Less than a Bachelors,5.0,39623.0
21240,Germany,Bachelor’s degree,8.0,74963.0
21241,Switzerland,Master’s degree,5.0,143281.0
21243,France,Master’s degree,11.0,61041.0
21248,Netherlands,Bachelor’s degree,17.0,74963.0
21252,United States of America,Master’s degree,0.5,140000.0
21254,Germany,Bachelor’s degree,20.0,117798.0
21255,Italy,Less than a Bachelors,20.0,23560.0
21260,United Kingdom of Great Britain and Northern Ireland,Post grad,7.0,59586.0
21268,Switzerland,Master’s degree,10.0,154303.0
21269,Germany,Bachelor’s degree,2.0,51403.0
21270,Australia,Post grad,8.0,81308.0
21271,Netherlands,Bachelor’s degree,4.0,57828.0
21274,Germany,Less than a Bachelors,5.0,42836.0
21276,Italy,Bachelor’s degree,15.0,53545.0
21278,Germany,Master’s degree,6.0,80317.0
21280,Portugal,Master’s degree,19.0,40159.0
