,Country,EdLevel,YearsCodePro,Salary
376,United States of America,Bachelor’s degree,25.0,295000.0
377,India,Less than a Bachelors,14.0,30292.0
378,Germany,Less than a Bachelors,1.0,35340.0
380,India,Master’s degree,12.0,26657.0
381,Germany,Master’s degree,21.0,149925.0
383,Poland,Master’s degree,13.0,72975.0
384,United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors,12.0,69517.0
385,Germany,Post grad,12.0,77104.0
391,Germany,Less than a Bachelors,13.0,69608.0
395,Netherlands,Bachelor’s degree,2.0,51403.0
399,Switzerland,Master’s degree,3.0,115727.0
406,Germany,Bachelor’s degree,14.0,64254.0
414,Denmark,Master’s degree,10.0,86271.0
418,Italy,Less than a Bachelors,5.0,18205.0
422,Germany,Bachelor’s degree,3.0,64254.0
424,Austria,Master’s degree,5.0,61469.0
426,India,Bachelor’s degree,8.0,24234.0
433,Norway,Bachelor’s degree,7.0,77021.0
434,Norway,Bachelor’s degree,2.0,90613.0
435,Canada,Less than a Bachelors,21.0,64686.0
444,Brazil,Bachelor’s degree,5.0,40575.0
448,Germany,Bachelor’s degree,3.0,59970.0
449,United States of America,Post grad,12.0,167000.0
452,Italy,Master’s degree,3.0,32127.0
456,Germany,Bachelor’s degree,15.0,65325.0
461,Switzerland,Master’s degree,20.0,132260.0
463,India,Bachelor’s degree,10.0,65431.0
464,Spain,Post grad,10.0,44978.0
467,Germany,Less than a Bachelors,4.0,57828.0
471,Spain,Bachelor’s degree,13.0,69608.0
474,United States of America,Master’s degree,15.0,125000.0
479,United States of America,Master’s degree,11.0,175000.0
480,France,Less than a Bachelors,11.0,104948.0
483,Italy,Master’s degree,12.0,44978.0
492,Italy,Master’s degree,5.0,68537.0
497,Germany,Master’s degree,6.0,64254.0
498,Austria,Bachelor’s degree,11.0,117798.0
499,United States of America,Master’s degree,2.0,80000.0
504,France,Less than a Bachelors,5.0,38981.0
508,Netherlands,Master’s degree,5.0,69608.0
509,Austria,Master’s degree,7.0,59970.0
515,Brazil,Bachelor’s degree,10.0,28403.0
523,Germany,Less than a Bachelors,3.0,41765.0
524,Denmark,Bachelor’s degree,5.0,77644.0
526,United States of America,Bachelor’s degree,15.0,215000.0
529,Poland,Master’s degree,3.0,47852.0
534,United Kingdom of Great Britain and Northern Ireland,Master’s degree,15.0,62069.0
535,United States of America,Post grad,15.0,120000.0
536,United States of America,Master’s degree,14.0,140000.0
537,Poland,Less than a Bachelors,5.0,53403.0
538,Germany,Less than a Bachelors,5.0,51403.0
539,Germany,Master’s degree,15.0,203470.0
541,Germany,Post grad,3.0,117798.0
544,Germany,Bachelor’s degree,2.0,64254.0
545,France,Master’s degree,1.0,33733.0
550,United States of America,Master’s degree,2.0,90000.0
